"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2004","4,126.00","3,961.18","4,219.05","3,959.25","2.06B","4.19%"
"10/01/2004","3,960.25","3,895.15","4,078.50","3,838.98","2.06B","1.73%"
"09/01/2004","3,892.90","3,794.17","4,000.13","3,792.25","1.90B","2.85%"
"08/01/2004","3,785.21","3,891.18","3,891.78","3,618.58","1.83B","-2.83%"
"07/01/2004","3,895.61","4,078.36","4,101.52","3,749.04","1.84B","-3.88%"
"06/01/2004","4,052.73","3,924.30","4,090.75","3,856.04","1.79B","3.35%"
"05/01/2004","3,921.41","3,972.88","4,029.32","3,710.02","1.87B","-1.60%"
"04/01/2004","3,985.21","3,858.34","4,156.89","3,857.04","2.05B","3.33%"
"03/01/2004","3,856.70","4,026.19","4,163.19","3,692.40","2.69B","-4.02%"
"02/01/2004","4,018.16","4,062.79","4,150.56","3,960.41","1.86B","-1.00%"
"01/01/2004","4,058.60","3,969.04","4,175.48","3,969.04","2.31B","2.36%"
"12/01/2003","3,965.16","3,752.72","3,996.28","3,752.72","1.69B","5.85%"
"11/01/2003","3,745.95","3,657.61","3,814.21","3,576.52","1.93B","2.46%"
"10/01/2003","3,655.99","3,255.76","3,675.78","3,217.40","2.16B","12.26%"
"09/01/2003","3,256.78","3,493.34","3,676.88","3,202.87","2.26B","-6.54%"
"08/01/2003","3,484.58","3,481.81","3,588.53","3,299.77","1.76B","-0.09%"
"07/01/2003","3,487.86","3,217.21","3,487.86","3,119.35","","8.30%"
"06/01/2003","3,220.58","2,990.93","3,324.44","2,990.93","","7.98%"
"05/01/2003","2,982.68","2,938.72","3,068.08","2,769.45","","1.38%"
"04/01/2003","2,942.04","2,426.24","3,004.79","2,395.72","","21.38%"
"03/01/2003","2,423.87","2,553.74","2,731.57","2,188.75","","-4.84%"
"02/01/2003","2,547.05","2,750.40","2,802.93","2,433.15","","-7.31%"
"01/01/2003","2,747.83","2,898.68","3,157.25","2,563.92","","-5.01%"
"12/01/2002","2,892.63","3,332.73","3,476.83","2,836.01","","-12.88%"
"11/01/2002","3,320.32","3,152.19","3,443.49","2,987.85","","5.31%"
"10/01/2002","3,152.85","2,772.96","3,299.01","2,519.30","","13.86%"
"09/01/2002","2,769.03","3,698.69","3,698.69","2,719.49","","-25.42%"
"08/01/2002","3,712.94","3,699.31","3,930.96","3,235.38","","0.35%"
"07/01/2002","3,700.14","4,377.10","4,483.03","3,265.96","","-15.57%"
"06/01/2002","4,382.56","4,818.07","4,850.38","3,946.70","","-9.04%"
"05/01/2002","4,818.30","5,043.01","5,126.33","4,741.95","","-4.42%"
"04/01/2002","5,041.20","5,379.64","5,379.64","4,929.35","","-6.60%"
"03/01/2002","5,397.29","5,025.96","5,467.31","5,003.06","","7.11%"
"02/01/2002","5,039.08","5,109.48","5,165.97","4,706.01","","-1.34%"
"01/01/2002","5,107.61","5,155.26","5,352.16","4,974.58","","-1.02%"
"12/01/2001","5,160.10","4,986.58","5,341.86","4,872.25","","3.41%"
"11/01/2001","4,989.91","4,556.71","5,217.47","4,481.55","","9.45%"
"10/01/2001","4,559.13","4,315.06","4,874.31","4,157.60","","5.83%"
"09/01/2001","4,308.15","5,195.67","5,220.10","3,539.18","","-16.96%"
"08/01/2001","5,188.17","5,859.68","5,930.45","5,124.69","","-11.48%"
"07/01/2001","5,861.19","6,053.81","6,131.97","5,551.14","","-3.25%"
"06/01/2001","6,058.38","6,122.96","6,278.04","5,758.69","","-1.06%"
"05/01/2001","6,123.26","6,272.03","6,337.47","5,960.46","","-2.25%"
"04/01/2001","6,264.51","5,843.37","6,271.20","5,383.99","","7.45%"
"03/01/2001","5,829.95","6,212.66","6,342.54","5,351.48","","-6.09%"
"02/01/2001","6,208.24","6,788.57","6,788.57","6,071.35","","-8.64%"
"01/01/2001","6,795.14","6,431.14","6,795.14","6,172.44","1.10B","5.62%"
"12/01/2000","6,433.61","6,379.26","6,813.30","6,110.26","821.07M","0.96%"
"11/01/2000","6,372.33","7,093.84","7,185.66","6,361.43","883.09M","-9.96%"
"10/01/2000","7,077.44","6,800.07","7,087.92","6,297.49","949.24M","4.11%"
"09/01/2000","6,798.12","7,221.41","7,456.71","6,468.46","932.20M","-5.80%"
"08/01/2000","7,216.45","7,194.03","7,395.81","6,954.60","781.58M","0.36%"
"07/01/2000","7,190.37","6,912.97","7,503.32","6,842.61","795.51M","4.24%"
"06/01/2000","6,898.21","7,117.57","7,486.40","6,851.84","882.68M","-2.97%"
"05/01/2000","7,109.67","7,407.53","7,571.72","6,794.08","684.25M","-4.11%"
"04/01/2000","7,414.68","7,599.78","7,641.53","6,890.96","625.40M","-2.43%"
"03/01/2000","7,599.39","7,645.30","8,136.16","7,411.76","1.40B","-0.59%"
"02/01/2000","7,644.55","6,841.12","7,813.20","6,841.12","969.55M","11.83%"
"01/01/2000","6,835.60","6,961.72","7,306.48","6,388.91","924.33M","-1.76%"
"12/01/1999","6,958.14","5,891.27","6,992.92","5,836.73","765.37M","18.01%"
